"utm_source","utm_medium","utm_campaign","visitors_count","leads_count","purchases_count","revenue","total_cost"
yandex,cpc,freemium,103,100,25,1654810,21654
yandex,cpc,prof-frontend,78,73,12,1057000,57138
yandex,cpc,prof-python,62,61,7,613196,33026
yandex,cpc,base-python,31,28,7,476021,12524
vk,cpc,prof-python,71,40,5,355564,2028
vk,cpc,freemium-frontend,80,43,5,338083,3160
yandex,cpc,prof-java,49,49,4,284590,29490
yandex,cpc,base-frontend,40,39,3,268515,18061
vk,cpc,prof-java,51,23,2,232726,3115
yandex,cpc,prof-data-analytics,14,14,2,220264,10086
yandex,cpc,prof-professions-brand,13,13,3,154287,4818
yandex,cpc,dod-php,4,4,1,150255,5964
yandex,cpc,base-professions-retarget,4,4,1,134100,151
yandex,cpc,base-java,20,20,1,48000,19252
vk,cpc,base-python,58,36,1,9072,2537
